filename	label	span_ini	span_end	term	code	sem_rel	is_abbrev	is_composite	need_context
es-S1137-66272014000200011-1	SINTOMA	3238	3306	afectación difusa de carácter miliar en ambos parénquimas pulmonares	409609008	NARROW	False	False	False
es-S0212-71992005000400007-1	SINTOMA	2101	2142	afectación difusa del parénquima hepático	767094002	NARROW	False	False	True
es-S0211-57352013000300011-1	SINTOMA	3551	3569	afectación frontal	129606007	EXACT	False	False	True
es-S1134-80462005000300004-1	SINTOMA	2741	2776	afectación grave de la sensibilidad	85972008	NARROW	False	False	False
es-S1137-66272011000100013-2	SINTOMA	747	793	afectación intersticial bilateral micronodular	64667001	NARROW	False	False	False
es-S0212-71992008000700009-1	SINTOMA	483	508	afectación intraorbitaria	371436007	EXACT	False	False	True
es-S0211-57352013000300011-1	SINTOMA	1512	1577	afectación izquierda temporoparietal que se rodea de amplio edema	195216008	NARROW	False	False	True
es-S0365-66912012000300005-1	SINTOMA	855	880	afectación macular en ojo	312999006	EXACT	False	False	False
es-S1130-01082007000700011-1	SINTOMA	827	850	afectación mediastínica	49483002	EXACT	False	False	False
es-S1137-66272010000400007-1	SINTOMA	2051	2095	afectaciones renales eran de tipo glomerular	197679002	EXACT	False	False	False
es-S1130-01082008000300010-1	SINTOMA	1237	1298	Ag bacterianos en orina: negativo para neumococo y legionella	309306009	NARROW	False	False	False
es-S0211-57352011000400009-1	SINTOMA	1702	1723	agitaciones nocturnas	24199005	NARROW	False	False	False
es-S0210-48062004000200011-1	SINTOMA	3188	3210	agregación plaquetaria	117294002	EXACT	False	False	False
es-S0365-66912008000700010-1	SINTOMA	429	473	agudeza visual (AV) inicial era de la unidad	82132006	EXACT	True	False	False
es-S0365-66912012000300005-1	SINTOMA	1296	1318	agudeza visual estable	170728008	NARROW	False	False	True
es-S0365-66912007000200011-1	SINTOMA	1395	1427	agudeza visual permanece estable	170728008	NARROW	False	False	True
es-S1134-80462009000500006-1	SINTOMA	900	908	agujetas	68962001	NARROW	False	False	False
es-S0211-57352013000300011-1	SINTOMA	2461	2479	aislamiento social	422650009	EXACT	False	False	True
es-S0212-71992005000600008-1	SINTOMA	1557	1580	alfafetoproteína normal	166558007	EXACT	False	False	False
es-S0210-48062005000300014-1	SINTOMA	2255	2279	algia músculoesquelética	68962001	EXACT	False	False	False
es-S1134-80462014000300009-1	SINTOMA	160	180	alodinia en la ingle	102570003	NARROW	False	False	False
es-S0210-48062009000200019-1	SINTOMA	1621	1648	alteración a nivel colónico	128524007	EXACT	False	False	False
es-S1130-63432014000400016-1	SINTOMA	2959	2987	alteración de la coagulación	64779008	EXACT	False	False	False
es-S1130-14732005000300004-1	SINTOMA	924	949	alteración de vías largas	118940003	NARROW	False	False	True
es-S0365-66912007000900016-1	SINTOMA	1567	1626	alteración del epitelio pigmentario retiniano (EPR) macular	421689001	EXACT	True	False	False
es-S0210-48062005000300014-1	SINTOMA	311	340	alteración del estado general	213257006	EXACT	False	False	False
es-S1130-01082007001100010-2	SINTOMA	100	134	alteración del nivel de conciencia	3006004	EXACT	False	False	False
es-S1139-76322009000700016-1	SINTOMA	507	540	alteración del ritmo deposicional	88111009	EXACT	False	False	False
es-S0211-69952016000600552-1	SINTOMA	2782	2840	alteración en el control de movimientos de la mano derecha	15929741000119101	NARROW	False	False	False
es-S1139-76322015000300013-1	SINTOMA	1033	1069	alteración en el nivel de conciencia	3006004	EXACT	False	False	False
es-S0210-48062009000300013-1	SINTOMA	485	508	alteración hemodinámica	422773005	EXACT	False	False	False
es-S1137-66272014000200013-1	SINTOMA	1093	1111	alteración nodular	129733003	EXACT	False	False	True
es-S0365-66912007000900016-1	SINTOMA	1127	1153	alteraciones campimétricas	12772003	EXACT	False	False	False
es-S1130-01082005001200011-1	SINTOMA	4318	4345	alteraciones de la conducta	430909002	EXACT	False	False	False
es-S1889-836X2015000200005-2	SINTOMA	754	789	alteraciones de la estática de pies	249990003	NARROW	False	False	True
es-S1137-66272016000300010-1	SINTOMA	1283	1333	alteraciones de la repolarización, despolarización	44808001	NARROW	False	False	False
es-S1130-63432014000500008-1	SINTOMA	1226	1262	alteraciones de marcadores cardíacos	405740000	EXACT	False	False	False
es-S1130-63432015000100008-1	SINTOMA	747	778	alteraciones del comportamiento	430909002	EXACT	False	False	False
es-S0212-71992008000700009-1	SINTOMA	1049	1069	alteraciones del ojo	371405004	EXACT	False	False	False
es-S1134-80462009000500006-1	SINTOMA	1000	1022	alteraciones del sueño	39898005	EXACT	False	False	False
es-S1137-66272016000300010-1	SINTOMA	348	385	alteraciones en el ritmo deposicional	88111009	EXACT	False	False	False
es-S1137-66272009000500016-1	SINTOMA	1786	1833	alteraciones en hígado, bazo, vejiga ni riñones	249561001	NARROW	False	False	False
es-S1130-63432014000500008-1	SINTOMA	483	516	alteraciones en la repolarización	44808001	NARROW	False	False	False
es-S1134-80462005000100007-1	SINTOMA	963	996	alteraciones en la repolarización	44808001	NARROW	False	False	False
es-S1699-695X2015000300013-1	SINTOMA	692	736	alteraciones en los reflejos osteotendinosos	46670006	EXACT	False	False	False
es-S1130-63432014000500008-1	SINTOMA	655	700	alteraciones muy difusas en la repolarización	44808001	NARROW	False	False	False
es-S1137-66272016000300010-1	SINTOMA	1415	1456	alteraciones pleuroparenquimatosas agudas	60485005	EXACT	False	False	True
es-S1130-63432014000500008-1	SINTOMA	1301	1345	alteraciones regionales en la contractilidad	233928007	NARROW	False	False	True
es-S0211-57352013000300011-1	SINTOMA	2433	2459	alucinaciones cenestésicas	85550003	EXACT	False	False	False
es-S0212-71992004001100006-1	SINTOMA	1125	1157	alucinaciones visuales complejas	64269007	NARROW	False	False	False
es-S0376-78922008000400008-1	SINTOMA	3581	3647	ambas córneas se apreció una nata fibrosa por esfacelación corneal	91514001	NARROW	False	False	False
es-S0376-78922008000400008-1	SINTOMA	4479	4513	Ambos párpados mostraron sinequias	246829005	EXACT	False	False	True
es-S1698-44472004000400011-1	SINTOMA	1940	1952	ameloblastos	20462008	EXACT	False	False	True
es-S1889-836X2015000400006-1	SINTOMA	1210	1232	aminoaciduria moderada	35912001	EXACT	False	False	False
es-S1135-76062010000300006-1	SINTOMA	1432	1488	análisis químico-toxicológico realizado resulta negativo	167008003	EXACT	False	False	True
es-S1137-66272007000500016-1	SINTOMA	187	201	ANAS negativos	165851002	EXACT	True	False	True
es-S0376-78922011000500012-1	SINTOMA	3517	3534	anestesia plantar	309087008	NARROW	False	False	False
es-S0376-78922011000500012-1	SINTOMA	1568	1585	anestesia plantar	309087008	NARROW	False	False	False
es-S0376-78922011000500012-1	SINTOMA	1139	1166	anestesia plantar izquierda	309087008	NARROW	False	False	False
es-S1887-85712016000100005-1	SINTOMA	1375	1414	Anestesia y parálisis total del miembro	86022000	NARROW	False	False	True
es-S0365-66912007000900016-1	SINTOMA	395	466	angiofluoresceingrafía (AFG) mostró múltiples puntos hiperfluorescentes	29555009	NARROW	True	False	False
es-S1130-05582009000600004-1	SINTOMA	1056	1099	ángulo mandibular derecho mucho más marcado	235082006	EXACT	False	False	False
es-S0365-66912012000700004-1	SINTOMA	417	458	anillo perimacular de puntos blanquecinos	414639009	NARROW	False	False	False
es-S0211-57352011000400009-1	SINTOMA	3082	3092	ánimo bajo	366979004	EXACT	False	False	False
es-S0211-57352011000400009-1	SINTOMA	1656	1669	ánimo decaído	366979004	EXACT	False	False	False
es-S0211-57352013000300011-1	SINTOMA	2509	2526	ánimo hipertímico	30819006	NARROW	False	False	False
es-S1139-76322015000300013-1	SINTOMA	975	1003	anomalías del ritmo cardiaco	698247007	EXACT	False	False	False
es-S0376-78922016000200011-1	SINTOMA	1816	1850	anomalías en el parénquima mamario	129792006	EXACT	False	False	True
es-S0365-66912007001000008-1	SINTOMA	1529	1553	anomalías epileptiformes	43400009	EXACT	False	False	False
es-S0365-66912012000500003-1	SINTOMA	2251	2273	anomalías tomográficas	169030006	EXACT	False	False	False
es-S0004-06142008000300012-1	SINTOMA	1317	1363	Anormalidad inespecífica de cabeza de páncreas	3855007	NARROW	False	False	False
es-S1139-76322016000400018-1	SINTOMA	1553	1643	anormalidades en el parénquima pulmonar, estructuras del cuello o columna de aire traqueal	268926000	NARROW	False	False	False
es-S0210-48062005000700012-1	SINTOMA	573	601	antibrucela-coombs: positivo	365708008	NARROW	False	False	False
es-S1130-01082005001200011-1	SINTOMA	800	847	anticuerpos anti-endomisio débilmente positivos	443718009	NARROW	False	False	False
es-S1130-01082005001200011-1	SINTOMA	738	797	anticuerpos anti-gliadina y anti-transglutaminasa negativos	440109001	NARROW	False	False	False
es-S1137-66272014000200011-1	SINTOMA	1587	1631	anticuerpos anti-TPO y anti-TG indetectables	312397004	NARROW	False	False	False
es-S1130-01082009000600013-1	SINTOMA	846	927	anticuerpos frente al virus de la inmunodeficiencia humana (VIH) fueron negativos	406108000	EXACT	True	False	False
es-S1139-76322017000100010-1	SINTOMA	968	1031	anticuerpos IgA antitransglutaminasa (> 128 U/ml) e IgA (normal	440109001	NARROW	False	False	False
es-S1137-66272011000100013-2	SINTOMA	1256	1301	antígeno galactomanano presentaba positividad	365706007	NARROW	False	False	False
es-S0378-48352004001000003-1	SINTOMA	1213	1221	antiHBe-	309306009	NARROW	False	False	False
es-S0378-48352004001000003-1	SINTOMA	1179	1187	antiHBs-	406117000	EXACT	False	False	False
S0004-06142006000100014-1	SINTOMA	1719	1746	anulación funcional derecha	155876003	EXACT	False	False	True
es-S1130-01082009000200016-1	SINTOMA	691	741	apéndice de tamaño normal y ligeramente congestivo	8744003	NARROW	False	False	False
es-S1130-01082007000100013-1	SINTOMA	939	976	apéndice era macroscópicamente normal	300307005	NARROW	False	False	False
es-S1135-76062005000100002-1	SINTOMA	2577	2643	aplanamiento del hemisferio derecho, sobre todo del lóbulo frontal	195217004	NARROW	False	False	True
es-S1888-75462015000400006-1	SINTOMA	1245	1297	apoyo monopodal alterno derecho-izquierdo es estable	282300003	NARROW	False	False	True
es-S0376-78922007000300006-3	SINTOMA	439	501	área hipoecogénica alrededor del tendón flexor del dedo índice	116311003	NARROW	False	False	False
es-S0210-48062007000700014-1	SINTOMA	683	781	área hipointensa de aproximadamente 8x2x0,8 cm. localizada en región posterior de cuerpo cavernoso	300515007	NARROW	False	False	True
es-S1130-01082006000900014-1	SINTOMA	709	754	Área pancreática de aspecto ecográfico normal	300357002	NARROW	False	False	False
es-S1135-76062010000300006-1	SINTOMA	638	708	área parduzca de 0,5 x 1 cm en la corteza cerebral del lóbulo parietal	128128003	NARROW	False	False	False
es-S0365-66912007001200011-1	SINTOMA	742	788	arquitectura normal de las empalizadas de Vogt	392315004	EXACT	False	False	True
es-S1699-695X2015000200010-1	SINTOMA	1327	1430	articulaciones metacarpo-falángicas, interfalángicas proximales e interfalángicas distales están libres	299061005	NARROW	False	False	False
es-S1130-01082009000400015-1	SINTOMA	645	692	asa aferente dilatada y replecionada de líquido	86247009	NARROW	False	False	True
es-S1887-85712012000400006-1	SINTOMA	983	1018	asas de intestino delgado dilatadas	86247009	NARROW	False	False	False
es-S0376-78922011000100010-1	SINTOMA	612	640	asimetría de crestas ilíacas	299661006	EXACT	False	False	False
es-S1130-05582009000600004-1	SINTOMA	160	194	asimetría facial derecha, indolora	15253005	EXACT	False	False	False
es-S0212-71992008000700009-1	SINTOMA	204	220	asimetría ocular	301918006	NARROW	False	False	True
es-S1134-80462014000500004-1	SINTOMA	970	989	aspecto cushingoide	67967009	EXACT	False	False	False
es-S1130-01082007000100009-1	SINTOMA	1015	1070	aspecto mucoso en empedrado en recto y colon transverso	128524007	NARROW	False	False	False
es-S0212-16112010000100017-1	SINTOMA	2335	2350	aspecto quiloso	23839001	EXACT	False	False	True
es-S0212-16112010000100017-1	SINTOMA	2732	2746	aspecto seroso	22641006	EXACT	False	False	False
es-S0212-16112010000100017-1	SINTOMA	3392	3406	aspecto seroso	22641006	EXACT	False	False	False
es-S0365-66912005001100009-2	SINTOMA	275	323	atalamia con contacto iridoendotelial periférico	371405004	NARROW	False	False	False
es-S0365-66912005001100009-2	SINTOMA	394	417	atalamia con hipertonía	371405004	NARROW	False	False	True
es-S1135-76062013000200010-1	SINTOMA	398	404	atonía	19532005	EXACT	False	False	False
es-S0211-57352011000400009-1	SINTOMA	2725	2750	atrofia cortical moderada	278849000	NARROW	False	False	False
es-S1137-66272009000500016-1	SINTOMA	2136	2149	aumento de BT	176271000119108	EXACT	True	False	True
es-S0004-06142008000300012-1	SINTOMA	2292	2341	aumento de calibre de vena porta y suprahepáticas	161991006	NARROW	False	False	False
es-S1130-01082010000700014-1	SINTOMA	1208	1247	aumento de eosinófilos en lámina propia	417967008	NARROW	False	False	False
es-S1130-01082007000400010-1	SINTOMA	684	699	aumento de FFAA	274770006	EXACT	True	False	True
es-S0210-48062004000500009-1	SINTOMA	117	157	aumento de frecuencia miccional nocturna	139394000	EXACT	False	False	False
es-S1130-01082008001000008-1	SINTOMA	371	436	aumento de la atenuación y volumen del recto anterior del abdomen	871692005	NARROW	False	False	False
es-S0210-48062004000200011-1	SINTOMA	735	787	aumento de la consistencia del epidídimo y del teste	249230006	NARROW	False	False	False
es-S1137-66272013000200023-1	SINTOMA	3610	3645	aumento de la creatinina plasmática	166717003	EXACT	False	False	False
es-S0365-66912007000100009-1	SINTOMA	1122	1151	aumento de la grasa orbitaria	246838007	EXACT	False	False	False
es-S0211-57352011000400009-1	SINTOMA	3989	4023	aumento de la osmolaridad urinaria	167244000	EXACT	False	False	False
es-S0365-66912007000100010-1	SINTOMA	1329	1346	aumento de la PIO	112222000	EXACT	True	False	True
es-S0365-66912007000200011-1	SINTOMA	1843	1938	aumento de la reflectividad posterior a la altura del complejo epitelio pigmentado-coriocapilar	247103004	NARROW	False	False	False
es-S0365-66912004000900009-1	SINTOMA	852	902	aumento de la resistencia a la proteína c activada	421527008	EXACT	False	False	True
es-S1139-76322015000400012-1	SINTOMA	1195	1244	aumento de la velocidad de sedimentación globular	165468009	EXACT	False	False	False
es-S0210-48062005000300014-1	SINTOMA	1224	1241	aumento de la VSG	165468009	EXACT	True	False	True
es-S0212-71992004001100006-1	SINTOMA	257	274	aumento de la VSG	165468009	EXACT	True	False	True
es-S0365-66912004001000008-1	SINTOMA	1533	1547	aumento de PIO	112222000	EXACT	True	False	True
es-S0212-71992004001100006-1	SINTOMA	2484	2498	aumento de PTH	66999008	EXACT	True	False	True
es-S1134-80462005000100007-1	SINTOMA	617	657	aumento de trama broncovascular en bases	409609008	NARROW	False	False	False
es-S1130-01082006000900014-1	SINTOMA	782	822	aumento de volumen de cabeza pancreática	425810000	NARROW	False	False	False
es-S0212-71992008000700009-1	SINTOMA	1092	1154	aumento de volumen de la parte derecha de la cara y del cuello	274755005	EXACT	False	False	False
es-S1130-05582009000600004-1	SINTOMA	505	558	aumento de volumen en la región del ángulo mandibular	441708007	NARROW	False	False	False
es-S0004-06142008000400011-2	SINTOMA	303	332	aumento de volumen testicular	276412008	EXACT	False	False	False
es-S0210-48062004000200011-1	SINTOMA	110	162	aumento del diámetro y de la consistencia testicular	276412008	EXACT	False	False	False
es-S1130-05582008000400004-1	SINTOMA	820	875	aumento del tamaño de la glándula paratiroidea inferior	9092004	NARROW	False	False	False
es-S0004-06142008000300011-1	SINTOMA	153	195	aumento del tamaño testicular e induración	276412008	EXACT	False	False	False
es-S0210-48062007001000004-1	SINTOMA	442	463	aumento del testículo	276412008	EXACT	False	False	False
es-S1130-05582014000400006-2	SINTOMA	242	352	aumento del volumen en la región submandibular que se extiende a la región cervical anterior y supraclavicular	24411000119104	NARROW	False	False	False
es-S0004-06142008000300011-1	SINTOMA	338	368	aumento del volumen testicular	276412008	EXACT	False	False	False
es-S0211-69952009000600023-1	SINTOMA	444	526	aumento difuso de la fijación del lóbulo paratiroideo inferior izquierdo y derecho	73132005	NARROW	False	False	True
es-S0004-06142010000100015-1	SINTOMA	217	256	aumento difuso del tamaño del testículo	276412008	EXACT	False	False	False
es-S0211-69952015000500015-2	SINTOMA	266	301	Aumento esporádico de transaminasas	707724006	EXACT	False	False	False
es-S0365-66912012000800005-1	SINTOMA	497	550	aumento marcado de la excavación papilar en ambos ojo	890396001	EXACT	False	False	True
es-S0210-48062006000200018-1	SINTOMA	119	155	aumento moderado de volumen escrotal	276331001	EXACT	False	False	False
es-S0376-78922016000200011-1	SINTOMA	1485	1513	aumento paulatino de la mama	366346006	NARROW	False	False	True
S0004-06142007000600012-1	SINTOMA	167	219	aumento progresivo de los órganos genitales externos	300479008	NARROW	False	False	False
es-S0212-71992005000600008-1	SINTOMA	1511	1555	ausencia de componente M en el proteinograma	131137002	NARROW	False	False	False
es-S1137-66272011000300024-1	SINTOMA	2391	2428	Ausencia de cuerpo y cola pancreática	204806003	EXACT	False	False	True
es-S0212-16112010000600024-1	SINTOMA	103	125	ausencia de deposición	300377009	EXACT	False	False	True
es-S0210-56912008000400007-3	SINTOMA	782	806	ausencia de pulso radial	301165004	EXACT	False	False	False
es-S1699-65852007000300003-1	SINTOMA	690	763	ausencia del segundo premolar superior derecho y el primer molar inferior	234948008	NARROW	False	False	False
es-S0211-69952016000200176-1	SINTOMA	1694	1787	autoinmunidad (ANA, anticuerpos anti-MBG, complemento, crioglobulinas, etc.) fueron negativos	165878000	NARROW	True	False	False
es-S1887-85712014000100005-1	SINTOMA	2200	2222	autonomía de la marcha	165245003	EXACT	False	False	False
es-S0365-66912012001100004-5	SINTOMA	582	611	AV de la unidad en ambos ojos	82132006	EXACT	True	False	True
es-S0365-66912009001100005-3	SINTOMA	645	665	AV estaba conservada	82132006	EXACT	True	False	True
es-S1139-76322016000400018-1	SINTOMA	288	303	ávido por comer	102608004	EXACT	False	False	False
es-S1699-695X2015000200010-1	SINTOMA	1148	1167	BA de codo completo	304299008	EXACT	True	False	True
es-S1137-66272011000100013-2	SINTOMA	1095	1135	baciloscopias de esputo fueron negativas	167996009	EXACT	False	False	False
es-S1130-01082008000300010-1	SINTOMA	1203	1235	Bacteriología de esputo negativa	167987009	NARROW	False	False	False
es-S0365-66912012000700004-1	SINTOMA	74	98	baja agudeza visual (AV)	170728008	EXACT	True	False	False
es-S1699-695X2015000200010-1	SINTOMA	803	854	balance articular (BA) de las muñecas era simétrico	299016006	EXACT	True	False	False
es-S0212-71992004001100006-1	SINTOMA	1971	1998	balance motor era simétrico	298312007	EXACT	False	False	False
es-S0378-48352006000300005-1	SINTOMA	1722	1753	banda minimonoclonal IgM lambda	285426000	NARROW	False	False	False
es-S1130-01082005001200011-1	SINTOMA	3075	3140	bandas oligoclonales y análisis serológico múltiple, fue negativo	442225006	NARROW	False	False	False
es-S1130-01082007001100010-1	SINTOMA	379	393	bazo homogéneo	300563005	NARROW	False	False	False
es-S1130-01082007001200014-1	SINTOMA	802	887	benzodiazepinas, mianserina, ibuprofeno y ketoprofeno en concentraciones terapéuticas	494716691000132104	NARROW	False	False	False
es-S1130-01082010000200011-1	SINTOMA	413	427	bien hidratada	1144674006	EXACT	False	False	False
es-S0365-66912004001200010-2	SINTOMA	447	489	biomicroscopía de polo anterior fue normal	301936006	EXACT	False	False	False
es-S1135-76062005000100002-1	SINTOMA	4402	4416	bolas axonales	106144008	NARROW	False	False	True
es-S0376-78922012000300010-1	SINTOMA	214	232	bolsas palpebrales	103268003	EXACT	False	False	True
es-S0376-78922012000300010-1	SINTOMA	1176	1194	bolsas palpebrales	103268003	EXACT	False	False	False
es-S0004-06142008000500009-1	SINTOMA	813	845	borramiento de la línea de psoas	609624008	NARROW	False	False	True
es-S0376-78922009000100014-1	SINTOMA	123	153	brazo izquierdo. La tumoración	309525008	EXACT	False	False	False
es-S1137-66272007000500016-1	SINTOMA	1295	1330	brote oligoarticular incapacitante,	250098005	EXACT	False	False	False
es-S0211-69952016000600552-1	SINTOMA	3535	3609	brotes de actividad paroxística [ondas theta] en región temporal izquierda	251496007	NARROW	False	False	False
es-S0211-69952016000600552-1	SINTOMA	3711	3758	brotes paroxísticos bilaterales de ondas agudas	251479006	NARROW	False	False	False
es-S1139-76322009000100006-1	SINTOMA	674	684	buen color	77775007	EXACT	False	False	False
es-S1887-85712016000100005-1	SINTOMA	3174	3208	buen estado vasculonervioso distal	1148973008	EXACT	False	False	False
es-S1139-76322009000700016-1	SINTOMA	986	1002	buena coloración	77775007	EXACT	False	False	False
es-S0210-48062009000400015-2	SINTOMA	775	806	buena curación de las fracturas	125163009	NARROW	False	False	False
es-S1137-66272009000500016-1	SINTOMA	1607	1654	buena diferenciación de sustancia blanca y gris	830121005	NARROW	False	False	True
es-S1134-80462015000200005-1	SINTOMA	1448	1475	buena dinámica respiratoria	22803001	EXACT	False	False	True
es-S0004-06142008000300012-1	SINTOMA	2837	2862	buena función ventricular	371859008	NARROW	False	False	True
es-S0365-66912004001000008-1	SINTOMA	1221	1241	buena función visual	45089002	EXACT	False	False	False
es-S1139-76322009000100006-1	SINTOMA	370	393	buena ganancia ponderal	8943002	EXACT	False	False	False
es-S1139-76322009000700016-1	SINTOMA	949	984	buena hidratación de piel y mucosas	1144674006	EXACT	False	False	False
es-S0211-69952012000500025-1	SINTOMA	1947	1973	buena perfusión de la mano	366216006	NARROW	False	False	False
es-S1137-66272016000300010-1	SINTOMA	720	742	Buena perfusión distal	45332005	EXACT	False	False	True
es-S0365-66912006000900010-1	SINTOMA	1454	1476	buena visión binocular	45089002	EXACT	False	False	False
es-S1130-14732005000300004-1	SINTOMA	499	506	bultoma	4147007	EXACT	False	False	False
es-S1139-76322015000400012-1	SINTOMA	390	409	bultos en la cabeza	10683471000119104	EXACT	False	False	True
es-S0212-71992004001100006-1	SINTOMA	2598	2620	CA 15,3 estaba elevado	396701002	NARROW	False	False	False
es-S1888-75462015000400006-1	SINTOMA	1912	1958	cabeza femoral presenta un pequeño islote óseo	879910002	NARROW	False	False	True
es-S1135-76062013000200010-1	SINTOMA	1765	1797	cadáver muy pálido con livideces	56430004	EXACT	False	False	False
es-S0212-71992005001100007-1	SINTOMA	2411	2439	cadenas ligeras Kappa libres	414764000	NARROW	False	False	True
es-S1137-66272010000400007-1	SINTOMA	1964	1982	cadmio en la orina	441811002	NARROW	False	False	False
es-S1137-66272010000400007-1	SINTOMA	1896	1912	cadmio en sangre	274891006	NARROW	False	False	False
es-S1130-01082006000900014-1	SINTOMA	1571	1605	caída de las cifras de hemoglobina	165397008	EXACT	False	False	False
es-S1130-01082005001200011-1	SINTOMA	1819	1836	caídas frecuentes	279992002	EXACT	False	False	False
es-S1130-05582008000400004-5	SINTOMA	335	361	calcemia permaneció normal	166701009	EXACT	False	False	False
es-S0210-48062007001000004-1	SINTOMA	2137	2191	Calcificación en vertiente anteroinferior de testículo	300492006	NARROW	False	False	False
es-S1139-76322016000300009-1	SINTOMA	1177	1206	calcificación intratesticular	18115005	NARROW	False	False	False
es-S1134-80462014000500004-1	SINTOMA	1375	1448	calcificaciones groseras en tejidos de partes blandas de cavidad torácica	280129003	NARROW	False	False	False
es-S1134-80462014000500004-1	SINTOMA	1568	1705	calcificaciones musculares en territorio pectoral, periescapular, dorsal, paravertebral y fundamentalmente en territorio glúteo izquierdo	446993003	NARROW	False	False	False
es-S0210-48062004000200011-1	SINTOMA	1538	1603	calcificaciones que afectan a polo superior, inferior y epidídimo	236763001	NARROW	False	False	False
es-S0365-66912007000900010-1	SINTOMA	1631	1663	calcio en sangre fueron normales	166701009	EXACT	False	False	False
es-S0210-48062004000800009-1	SINTOMA	1658	1734	cambios postquirúrgicos a nivel de la cortical renal y de la grasa adyacente	79131000119100	NARROW	False	False	False
